id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
2409;2022-05-27;1046873;1755;1001066;4610;216,5;'-25,7';4,4;3,8
2406;2022-05-26;1045118;25;998382;4608;265,0;'-22,4';4,3;3,6
2403;2022-05-25;1045093;1812;994543;4608;271,0;'-20,2';5,2;3,5
2400;2022-05-24;1043281;2182;990579;4606;273,0;'-17,6';5,4;3,7
2397;2022-05-23;1041099;2184;986654;4604;282,6;'-16,0';6,0;3,8
2394;2022-05-22;1038915;118;982222;4578;283,7;'-12,6';6,0;3,1
2391;2022-05-21;1038797;38;981779;4578;285,3;'-8,8';6,0;3,2
2388;2022-05-20;1038759;1701;980991;4578;302,0;'-4,8';6,0;3,3
2385;2022-05-19;1037058;1637;978200;4574;319,3;'-2,5';5,8;4,4
2382;2022-05-18;1035421;1977;974975;4574;341,3;'-3,0';6,5;4,5
2379;2022-05-17;1033444;2418;971140;4562;368,9;'-6,3';7,2;4,5
2376;2022-05-16;1031026;2506;966488;4556;397,8;'-9,8';8,0;4,8
2373;2022-05-15;1028520;16;965353;4556;398,1;'-16,4';8,5;4,3
2370;2022-05-14;1028504;233;964927;4556;393,9;'-21,1';8,6;4,5
2367;2022-05-13;1028271;2344;964103;4556;377,6;'-24,2';8,5;4,3
2364;2022-05-12;1025927;2470;963449;4544;367,2;'-25,5';8,5;5,5
2361;2022-05-11;1023457;2899;959863;4536;362,4;'-24,7';8,2;5,2
2358;2022-05-10;1020558;3802;955679;4528;392,2;'-22,8';8,3;4,7
2355;2022-05-09;1016756;2797;950710;4525;357,9;'-21,9';8,2;4,7
2352;2022-05-08;1013959;93;946262;4512;357,9;'-15,7';10,0;4,5
2349;2022-05-07;1013866;111;945867;4512;362,2;'-9,3';9,9;4,9
2346;2022-05-06;1013755;1623;945295;4512;389,1;'-2,6';10,1;4,8
2343;2022-05-05;1012132;2187;941717;4509;438,3;6,6;10,3;5,5
2340;2022-05-04;1009945;2674;937120;4503;486,5;14,2;10,0;5,8
2337;2022-05-03;1007271;4087;932507;4495;483,4;19,5;9,9;5,8
2334;2022-05-02;1003184;2938;925760;5553;542,5;24,7;10,2;5,7
2331;2022-05-01;1000246;36;920207;4487;543,4;20,5;9,2;4,8
2328;2022-04-30;1000210;124;919798;4487;550,6;15,6;9,3;5,0
2325;2022-04-29;1000086;2798;918973;4485;557,2;9,8;9,3;5,1
2322;2022-04-28;997288;3506;913934;4480;541,5;'-1,1';8,7;6,2
2319;2022-04-27;993782;4732;908567;4478;534,9;'-11,4';9,2;6,7
2316;2022-04-26;989050;4036;901268;4463;552,5;'-19,7';9,1;6,7
2313;2022-04-25;985014;5002;893896;4461;444,9;'-27,8';10,3;7,2
2310;2022-04-24;980012;92;886369;4458;446,4;'-31,1';9,6;6,8
2307;2022-04-23;979920;286;885897;4458;447,7;'-32,4';9,6;7,0
2304;2022-04-22;979634;2833;884585;4458;378,1;'-32,4';11,0;7,0
2301;2022-04-21;976801;3274;878454;4455;384,1;'-30,9';12,1;7,5
2298;2022-04-20;973527;4551;870851;4452;393,7;'-28,9';12,0;7,2
2295;2022-04-19;968976;4589;862005;4443;404,4;'-27,6';12,2;7,3
2292;2022-04-18;964387;106;852822;4427;515,4;'-25,4';11,8;7,2
2289;2022-04-17;964281;147;844242;4427;515,4;'-25,0';14,0;7,0
2286;2022-04-16;964134;319;843585;4427;510,7;'-23,6';13,8;6,6
2283;2022-04-15;963815;197;842797;4427;601,4;'-21,3';14,1;7,6
