id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
1596;2021-08-29;191802;14;181957;3592;81,2;7,5;2,2;
1593;2021-08-28;191788;79;181759;3592;80,9;8,3;2,2;
1590;2021-08-27;191709;414;181609;3592;81,2;9,0;2,2;4,6
1587;2021-08-26;191295;346;181317;3591;79,4;10,6;2,3;4,7
1584;2021-08-25;190949;691;181286;3597;76,0;13,5;2,1;4,5
1581;2021-08-24;190258;471;181027;3595;74,2;18,3;2,3;4,8
1578;2021-08-23;189787;645;180786;3592;74,9;24,7;2,0;5,3
1575;2021-08-22;189142;42;180534;3588;75,2;31,8;2,3;
1572;2021-08-21;189100;95;180385;3587;75,5;38,4;2,3;
1569;2021-08-20;189005;343;180246;3587;74,9;44,3;2,3;5,3
1566;2021-08-19;188662;475;180050;3588;75,3;49,7;2,3;5,0
1563;2021-08-18;188187;510;179850;3588;75,3;53,4;2,3;4,8
1560;2021-08-17;187677;552;179656;3587;72,5;55,7;2,0;5,0
1557;2021-08-16;187125;594;179476;3587;67,4;57,5;2,1;3,6
1554;2021-08-15;186531;13;179311;3587;67,2;60,0;1,9;
1551;2021-08-14;186518;126;179195;3587;66,2;58,0;1,9;
1548;2021-08-13;186392;615;179084;3587;60,3;50,8;1,9;4,4
1545;2021-08-12;185777;473;178937;3586;55,1;43,6;1,7;4,4
1542;2021-08-11;185304;358;178814;3585;50,2;37,9;1,7;4,7
1539;2021-08-10;184946;366;178679;3585;45,8;33,6;1,3;3,6
1536;2021-08-09;184580;380;178542;3585;41,3;30,5;1,5;3,6
1533;2021-08-08;184200;21;178367;3585;40,5;29,8;1,3;
1530;2021-08-07;184179;72;178256;3585;39,2;27,8;1,3;
1527;2021-08-06;184107;238;178164;3585;38,0;24,9;1,3;3,9
1524;2021-08-05;183869;289;178116;3585;36,4;21,8;1,2;4,0
1521;2021-08-04;183580;307;178011;3585;33,1;18,4;1,1;3,7
1518;2021-08-03;183273;270;177904;3583;30,9;17,5;1,1;3,7
1515;2021-08-02;183003;263;177808;3583;29,9;19,3;1,0;3,6
1512;2021-08-01;182740;17;177625;3583;29,7;23,8;0,6;
1509;2021-07-31;182723;33;177549;3583;29,8;27,1;0,6;
1506;2021-07-30;182690;137;177462;3583;29,5;29,2;0,6;3,4
1503;2021-07-29;182553;213;177331;3582;27,6;31,9;0,8;3,5
1500;2021-07-28;182340;173;177235;3581;26,7;37,9;0,8;3,5
1497;2021-07-27;182167;197;177103;3581;26,3;46,3;0,8;3,6
1494;2021-07-26;181970;259;176983;3581;25,4;56,0;0,6;3,5
1491;2021-07-25;181711;11;176852;3578;25,2;67,5;0,5;
1488;2021-07-24;181700;17;176786;3578;25,0;77,8;0,5;
1485;2021-07-23;181683;155;176716;3578;24,1;86,1;0,6;3,5
1482;2021-07-22;181528;99;176707;3577;24,0;94,4;0,6;3,8
1479;2021-07-21;181429;-161;176646;3576;22,9;96,9;0,6;3,6
1476;2021-07-20;181590;251;176914;3576;20,8;95,0;0,5;3,3
1473;2021-07-19;181339;;176866;3574;17,7;92,5;0,5;3,4
1470;2021-07-18;;;;;17,7;98,7;0,5;
1467;2021-07-17;;;;;17,4;94,9;0,5;
1464;2021-07-16;181146;132;176804;3570;15,3;77,8;0,5;3,8
1461;2021-07-15;181014;132;176691;3568;12,9;59,6;0,4;3,4
1458;2021-07-14;180882;137;176648;3568;10,8;44,8;0,5;3,7
1455;2021-07-13;180745;99;176609;3565;9,3;33,5;0,6;3,8
1452;2021-07-12;180646;95;176577;3565;8,4;26,1;0,7;3,7
1449;2021-07-11;180551;;176520;3564;8,4;19,1;0,7;4,3
1446;2021-07-10;180551;2;176503;3564;8,3;10,5;0,7;4,3
1443;2021-07-09;180549;57;176488;3564;7,6;0,8;0,7;4,3
1440;2021-07-08;180492;59;176444;3563;7,3;'-6,6';0,6;4,2
1437;2021-07-07;180433;52;176420;3563;6,8;'-10,7';0,8;4,1
1434;2021-07-06;180381;57;176375;3562;6,4;'-13,9';0,9;4,3
1431;2021-07-05;180324;53;176334;3561;5,5;'-16,6';0,9;4,2
1428;2021-07-04;180271;3;176284;3559;5,5;'-16,4';0,9;4,5
1425;2021-07-03;180268;2;176264;3559;5,6;'-15,6';0,9;4,6
1422;2021-07-02;180266;38;176234;3559;5,7;'-14,0';0,9;4,7
1419;2021-07-01;180228;16;176179;3560;6,0;'-14,6';0,8;4,1
1416;2021-06-30;180212;46;176088;3560;6,4;'-19,8';0,8;4,8
1413;2021-06-29;180166;26;176012;3559;6,4;'-26,7';0,8;5,1
1410;2021-06-28;180140;22;175959;3557;6,9;'-33,4';0,8;4,2
1407;2021-06-27;180118;;175914;3556;6,9;'-39,6';0,8;5,8
1404;2021-06-26;180118;6;175896;3556;7,1;'-41,9';0,8;5,8
1401;2021-06-25;180112;25;175870;3556;7,4;'-42,5';0,8;5,8
1398;2021-06-24;180087;55;175814;3552;6,9;'-43,6';0,8;5,6
1395;2021-06-23;180032;37;175697;3548;7,2;'-45,6';0,8;4,6
1392;2021-06-22;179995;66;175604;3547;7,6;'-47,7';0,8;5,5
1389;2021-06-21;179929;41;175514;3545;7,8;'-48,5';0,8;6,9
1386;2021-06-20;179888;1;175434;3545;7,9;'-48,8';0,9;7,4
1383;2021-06-19;179887;15;175394;3545;7,8;'-46,8';1,1;7,4
1380;2021-06-18;179872;48;175336;3545;8,8;'-43,8';1,3;7,3
1377;2021-06-17;179824;-11;175213;3541;10,9;'-41,7';1,2;7,6
1374;2021-06-16;179835;63;175132;3535;12,3;'-39,8';1,3;8,0
1371;2021-06-15;179772;22;174976;3529;13,8;'-38,4';1,3;7,9
1368;2021-06-14;179750;57;174836;3520;15,3;'-37,2';1,4;7,6
1365;2021-06-13;179693;6;174654;3517;15,3;'-33,4';1,8;7,9
1362;2021-06-12;179687;26;174598;3517;15,7;'-29,2';1,8;8,2
1359;2021-06-11;179661;101;174476;3518;17,4;'-24,9';1,8;8,3
1356;2021-06-10;179560;90;174249;3517;20,7;'-21,6';2,0;8,9
1353;2021-06-09;179470;121;174050;3513;23,3;'-18,6';1,7;9,6
1350;2021-06-08;179349;117;173821;3512;25,0;'-18,0';1,8;10,0
1347;2021-06-07;179232;104;173569;3510;27,3;'-20,3';1,8;10,5
1344;2021-06-06;179128;7;273409;3506;27,3;'-26,3';1,7;11,6
1341;2021-06-05;179121;27;173310;3505;28,3;'-29,5';1,7;10,9
1338;2021-06-04;179094;159;173217;3506;30,8;'-31,5';1,6;11,1
1335;2021-06-03;178935;182;172935;3502;31,9;'-33,5';1,7;11,7
1332;2021-06-02;178753;192;172702;3499;34,1;'-32,6';2,0;11,6
1329;2021-06-01;178561;196;172392;3497;35,9;'-33,4';2,3;12,2
1326;2021-05-31;178365;142;172071;3485;32,6;'-33,5';2,4;12,2
1323;2021-05-30;178223;18;171673;3481;33,1;'-32,6';2,5;12,8
1320;2021-05-29;178205;-22;171515;3481;34,2;'-30,5';2,5;12,7
1317;2021-05-28;178227;285;171356;3482;36,3;'-27,7';2,9;13,2
1314;2021-05-27;177942;281;171028;3465;35,9;'-25,7';3,0;13,9
1311;2021-05-26;177661;120;170739;3460;39,7;'-25,8';3,4;14,9
1308;2021-05-25;177541;231;170297;3454;46,0;'-25,4';3,7;15,5
1305;2021-05-24;177310;76;169849;3440;55,1;'-26,6';4,4;16,0
1302;2021-05-23;177234;50;169366;3439;55,3;'-28,8';5,1;16,2
1299;2021-05-22;177184;146;169166;3438;57,3;'-29,2';5,0;16,0
1296;2021-05-21;177038;281;168885;3429;60,5;'-28,7';5,0;17,1
1293;2021-05-20;176757;256;168303;3422;57,1;'-27,9';5,3;17,8
1290;2021-05-19;176501;462;167715;3416;63,6;'-26,5';4,7;18,4
1287;2021-05-18;176039;382;167030;3412;64,7;'-25,7';5,2;19,1
1284;2021-05-17;175657;370;166410;3403;68,6;'-24,9';5,2;20,0
1281;2021-05-16;175287;91;165713;3399;68,3;'-24,5';5,6;19,9
1278;2021-05-15;175196;173;165439;3399;68,8;'-23,2';5,7;20,1
1275;2021-05-14;175023;455;165019;3399;73,5;'-21,8';5,3;20,1
1272;2021-05-13;174568;155;164363;3396;86,5;'-20,4';5,7;20,5
1269;2021-05-12;174413;707;163709;3325;88,5;'-20,3';5,5;21,2
1266;2021-05-11;173706;510;162864;3319;96,0;'-20,1';5,6;22,2
1263;2021-05-10;173196;466;162039;3306;99,9;'-20,1';5,6;23,7
1260;2021-05-09;172730;79;161136;3302;100,0;'-19,3';6,2;23,9
1257;2021-05-08;172651;318;160812;3302;100,6;'-17,9';6,2;24,4
1254;2021-05-07;172333;592;160337;3266;102,5;'-15,7';6,7;24,6
1251;2021-05-06;171741;596;159448;3255;107,3;'-13,7';6,8;24,0
1248;2021-05-05;171145;850;158604;3242;110,9;'-12,2';7,9;24,5
1245;2021-05-04;170295;730;157536;3233;116,1;'-11,3';8,2;24,7
1242;2021-05-03;169565;550;156673;3228;122,3;'-10,4';9,0;26,0
1239;2021-05-02;169015;57;155965;3216;124,2;'-9,6';9,1;25,8
1236;2021-05-01;168958;499;155563;3214;130,0;'-8,4';9,4;26,1
1233;2021-04-30;168459;616;154947;3213;133,7;'-7,9';9,7;25,8
1230;2021-04-29;167843;742;154101;3210;136,9;'-7,8';9,6;25,9
1227;2021-04-28;167101;1053;153233;3210;141,9;'-7,3';10,2;26,4
1224;2021-04-27;166048;951;152292;3201;143,3;'-5,3';10,5;27,1
1221;2021-04-26;165097;793;151493;3193;141,0;'-1,9';11,0;27,2
1218;2021-04-25;164304;198;150567;3188;141,3;3,3;10,3;27,1
1215;2021-04-24;164106;485;150213;3187;140,1;8,0;10,3;27,1
1212;2021-04-23;163621;841;149639;3180;143,5;12,0;10,2;27,2
1209;2021-04-22;162780;1135;148683;3175;148,8;18,6;10,7;27,9
1206;2021-04-21;161645;1166;147657;3169;153,7;24,1;10,6;27,3
1203;2021-04-20;160479;759;146833;3163;155,2;26,5;10,7;26,9
1200;2021-04-19;159720;463;145969;3153;154,4;26,0;11,0;26,3
1197;2021-04-18;159257;401;145262;3150;154,1;22,2;10,3;26,2
1194;2021-04-17;158856;548;144893;3151;157,0;17,7;10,3;26,2
1191;2021-04-16;158308;1288;144284;3147;160,7;12,6;10,8;26,0
1188;2021-04-15;157020;1022;143610;3143;156,8;2,6;10,4;26,1
1185;2021-04-14;155998;1327;142755;3134;143,0;'-6,3';10,1;26,3
1182;2021-04-13;154671;677;141946;3128;130,4;'-11,5';10,2;27,1
1179;2021-04-12;153994;539;141202;3127;117,1;'-14,5';11,0;26,6
1176;2021-04-11;153455;493;140528;3123;119,2;'-15,2';10,3;26,3
1173;2021-04-10;152962;643;140245;3123;124,2;'-15,6';10,1;25,8
1170;2021-04-09;152319;1019;139794;3122;104,5;'-15,2';10,1;24,9
1167;2021-04-08;151300;923;139004;3110;103,7;'-10,8';10,3;23,8
1164;2021-04-07;150377;545;138211;3098;113,8;'-5,2';10,0;23,9
1161;2021-04-06;149832;601;137422;3090;122,6;0,5;10,2;23,7
1158;2021-04-05;149231;194;136605;3086;135,2;6,7;11,0;21,7
1155;2021-04-04;149037;309;135961;3086;133,2;11,7;10,5;21,2
1152;2021-04-03;148728;778;135571;3082;127,5;16,8;10,5;20,6
1149;2021-04-02;147950;484;135137;3081;144,5;23,1;10,0;20,0
1146;2021-04-01;147466;1205;134566;3071;145,1;25,4;10,4;19,8
1143;2021-03-31;146261;1012;133933;3055;142,0;27,0;10,6;20,2
1140;2021-03-30;145249;663;133313;3047;144,3;29,0;10,2;19,3
1137;2021-03-29;144586;575;132801;3043;147,0;30,0;9,0;18,9
1134;2021-03-28;144011;296;132170;3039;146,5;32,0;11,1;17,8
1131;2021-03-27;143715;735;131876;3036;140,7;31,5;11,8;18,4
1128;2021-03-26;142980;973;131497;3030;131,2;30,5;11,4;18,3
1125;2021-03-25;142007;1006;130911;3026;126,3;31,4;10,4;18,0
1122;2021-03-24;141001;1268;130405;3023;119,6;33,0;10,3;17,1
1119;2021-03-23;139733;751;129833;3011;108,8;34,9;9,8;16,8
1116;2021-03-22;138982;545;129295;2998;103,2;38,4;8,5;16,6
1113;2021-03-21;138437;219;128850;2992;102,9;38,6;9,0;15,8
1110;2021-03-20;138218;286;128612;2991;103,2;37,7;8,8;15,0
1107;2021-03-19;137932;894;128306;2985;104,6;34,6;8,5;16,4
1104;2021-03-18;137038;629;127871;2967;102,4;27,8;8,8;16,5
1101;2021-03-17;136409;630;127490;2956;98,4;19,1;8,5;16,8
1098;2021-03-16;135779;662;127046;2947;93,9;10,5;8,0;17,3
1095;2021-03-15;135117;366;126617;2942;77,4;2,8;8,0;16,0
1092;2021-03-14;134751;208;126185;2934;78,0;0,9;6,2;16,9
1089;2021-03-13;134543;508;126006;2934;75,3;'-1,4';6,3;16,7
1086;2021-03-12;134035;644;125756;2933;68,7;'-3,5';6,3;16,9
1083;2021-03-11;133391;553;125314;2928;62,3;'-3,0';7,5;16,1
1080;2021-03-10;132838;489;124886;2918;60,0;'-0,1';7,2;17,1
1077;2021-03-09;132349;287;124463;2902;60,6;4,1;7,1;17,5
1074;2021-03-08;132062;88;124027;2895;72,5;9,3;6,9;18,0
1071;2021-03-07;131974;110;123661;2894;70,9;10,7;6,9;17,7
1068;2021-03-06;131864;313;123503;2892;69,9;11,9;7,0;17,1
1065;2021-03-05;131551;415;123194;2889;70,9;13,7;7,1;17,8
1062;2021-03-04;131136;608;122762;2874;71,4;14,9;6,9;18,6
1059;2021-03-03;130528;447;122334;2862;70,4;15,0;7,3;18,1
1056;2021-03-02;130081;482;121899;2850;69,7;14,9;8,0;18,1
1053;2021-03-01;129599;242;121539;2825;67,3;13,3;8,9;17,6
1050;2021-02-28;129357;103;121051;2818;66,8;11,5;9,3;16,9
1047;2021-02-27;129254;311;120863;2818;68,0;9,4;8,6;17,4
1044;2021-02-26;128943;497;120638;2814;65,1;5,2;8,8;17,8
1041;2021-02-25;128446;510;120264;2805;63,1;1,3;7,9;18,1
1038;2021-02-24;127936;483;119920;2781;62,2;'-2,3';9,0;18,4
1035;2021-02-23;127453;268;119507;2766;59,4;'-5,9';8,9;19,1
1032;2021-02-22;127185;287;119125;2740;58,1;'-8,5';9,3;19,4
1029;2021-02-21;126898;73;118635;2728;58,7;'-11,8';9,1;19,5
1026;2021-02-20;126825;252;118433;2727;56,6;'-14,6';8,8;20,7
1023;2021-02-19;126573;372;118114;2720;55,6;'-15,7';9,1;21,6
1020;2021-02-18;126201;475;117598;2702;55,6;'-16,6';8,9;21,1
1017;2021-02-17;125726;444;117150;2670;54,8;'-17,1';9,5;20,5
1014;2021-02-16;125282;296;116574;2645;57,2;'-17,6';9,9;21,2
1011;2021-02-15;124986;196;115860;2620;58,4;'-18,9';8,8;21,9
1008;2021-02-14;124790;71;115319;2609;58,2;'-19,2';9,6;21,2
1005;2021-02-13;124719;204;115124;2605;60,9;'-18,4';9,5;21,9
1002;2021-02-12;124515;384;114823;2597;62,3;'-18,0';9,7;22,7
999;2021-02-11;124131;396;114151;2573;63,6;'-18,0';10,2;24,1
996;2021-02-10;123735;546;113476;2556;65,4;'-18,2';9,7;24,7
993;2021-02-09;123189;302;112810;2506;66,6;'-19,0';11,0;24,6
990;2021-02-08;122887;284;112038;2485;72,1;'-20,0';11,2;24,8
987;2021-02-07;122603;156;111168;2470;72,9;'-20,9';11,6;25,1
984;2021-02-06;122447;222;110882;2466;72,4;'-21,3';12,2;25,6
981;2021-02-05;122225;352;110517;2453;75,8;'-20,7';12,6;25,7
978;2021-02-04;121873;484;109612;2418;77,2;'-20,8';13,0;27,6
975;2021-02-03;121389;644;108665;2374;81,5;'-21,5';13,7;28,0
972;2021-02-02;120745;353;107744;2326;86,5;'-23,0';14,5;27,2
969;2021-02-01;120392;455;106870;2293;86,1;'-24,8';13,9;28,4
966;2021-01-31;119937;140;106105;2276;86,2;'-27,8';15,3;27,3
963;2021-01-30;119797;291;105676;2264;88,6;'-28,8';16,4;28,1
960;2021-01-29;119506;556;105113;2235;92,6;'-28,9';16,1;28,7
957;2021-01-28;118950;503;104508;2195;97,3;'-29,3';16,7;29,7
954;2021-01-27;118447;890;103847;2164;103,2;'-30,5';22,0;30,1
951;2021-01-26;117557;433;103004;2101;108,6;'-31,1';24,1;30,3
948;2021-01-25;117124;369;102144;2067;109,8;'-30,6';23,7;30,5
945;2021-01-24;116755;160;101249;2040;112,9;'-28,1';24,4;30,5
942;2021-01-23;116595;463;100793;2039;113,6;'-25,8';24,4;30,5
939;2021-01-22;116132;615;99898;2021;119,5;'-22,8';27,3;30,6
936;2021-01-21;115517;901;99213;1996;128,8;'-17,1';27,5;30,5
933;2021-01-20;114616;732;98289;1957;137,4;'-8,8';28,0;30,3
930;2021-01-19;113884;824;96921;1918;145,1;'-0,1';31,3;30,5
927;2021-01-18;113060;544;95722;1860;164,1;8,1;35,3;30,4
924;2021-01-17;112516;284;94362;1833;165,1;14,1;33,6;30,5
921;2021-01-16;112232;495;93823;1822;168,5;20,1;34,1;30,6
918;2021-01-15;111737;990;93262;1800;179,0;25,4;34,4;32,1
915;2021-01-14;110747;1222;92100;1755;196,2;29,5;34,1;32,5
912;2021-01-13;109525;1222;90827;1711;201,4;29,4;28,8;32,3
909;2021-01-12;108303;1070;89399;1635;201,5;24,4;25,8;32,5
906;2021-01-11;107233;1036;88187;1591;192,3;16,7;26,5;32,5
903;2021-01-10;106197;340;86762;1565;199,1;7,8;27,0;33,0
900;2021-01-09;105857;732;86233;1560;200,8;'-1,8';27,6;33,2
897;2021-01-08;105125;1479;85603;1547;173,8;'-10,2';25,0;33,9
894;2021-01-07;103646;1569;84517;1487;142,7;'-18,6';24,2;34,7
891;2021-01-06;102077;1306;83245;1445;134,0;'-24,8';23,5;34,6
888;2021-01-05;100771;1235;82025;1390;134,9;'-27,6';19,6;35,2
885;2021-01-04;99536;771;80661;1327;139,1;'-27,9';16,2;35,0
882;2021-01-03;98765;656;79465;1305;139,7;'-27,2';16,5;34,5
879;2021-01-02;98109;460;79050;1285;145,4;'-25,5';15,9;34,9
876;2021-01-01;97649;207;78633;1277;142,9;'-23,5';17,6;33,8
873;2020-12-31;97442;643;77560;1271;145,7;'-20,0';18,2;34,0
870;2020-12-30;96799;1059;76250;1247;160,0;'-15,7';19,4;33,7
867;2020-12-29;95740;1287;75069;1213;166,5;'-11,8';20,9;34,0
864;2020-12-28;94453;646;73919;1172;177,9;'-7,9';20,5;32,0
861;2020-12-27;93807;815;72869;1149;174,1;'-4,0';20,0;32,7
858;2020-12-26;92992;635;72526;1128;169,0;0,6;19,2;32,2
855;2020-12-25;92357;278;71944;1118;205,9;6,6;18,4;31,3
852;2020-12-24;92079;952;70815;1116;235,2;9,1;21,4;30,6
849;2020-12-23;91127;1593;69633;1105;235,0;8,4;20,9;29,8
846;2020-12-22;89534;1504;68430;1066;228,1;7,9;21,3;30,4
843;2020-12-21;88030;953;67133;1024;226,8;7,9;22,4;28,0
840;2020-12-20;87077;516;65907;1007;225,8;8,0;22,9;29,0
837;2020-12-19;86561;1325;65350;1001;224,8;7,7;22,2;29,9
834;2020-12-18;85236;1545;64698;984;219,0;6,9;20,5;29,8
831;2020-12-17;83691;1473;63341;958;212,8;6,6;19,7;30,1
828;2020-12-16;82218;1283;62047;928;209,0;6,8;18,8;29,8
825;2020-12-15;80935;1129;60920;899;209,2;6,7;17,4;29,2
822;2020-12-14;79806;1008;59579;846;203,7;5,1;17,8;28,0
819;2020-12-13;78798;548;58284;821;204,3;2,7;17,6;27,4
816;2020-12-12;78250;1038;57655;813;203,4;0,1;18,1;27,5
813;2020-12-11;77212;1002;57042;790;206,7;'-2,2';18,2;28,2
810;2020-12-10;76210;1656;55660;768;205,8;'-5,0';16,5;27,8
807;2020-12-09;74554;1123;54170;749;198,6;'-7,8';16,1;27,6
804;2020-12-08;73431;1348;52666;732;195,5;'-9,6';15,6;26,6
801;2020-12-07;72083;640;51266;699;191,6;'-11,1';15,1;27,3
798;2020-12-06;71443;355;49816;683;190,0;'-11,7';14,4;24,5
795;2020-12-05;71088;1320;49406;679;191,5;'-12,1';14,7;26,6
792;2020-12-04;69768;1260;48747;657;187,7;'-12,1';14,4;25,9
789;2020-12-03;68508;1244;47474;641;185,6;'-11,0';14,2;24,8
786;2020-12-02;67264;958;46150;618;188,3;'-9,5';14,4;24,5
783;2020-12-01;66306;1161;44873;594;199,3;'-8,4';14,2;24,0
780;2020-11-30;65145;925;43409;565;210,6;'-6,8';13,8;24,5
777;2020-11-29;64220;332;42014;553;213,9;'-5,5';14,5;25,2
774;2020-11-28;63888;824;41421;550;213,1;'-3,7';14,0;24,2
771;2020-11-27;63064;1400;40762;539;217,6;'-1,5';14,2;25,3
768;2020-11-26;61664;1110;39578;527;221,0;0,8;13,8;23,5
765;2020-11-25;60554;1630;38449;508;223,2;3,5;13,5;24,2
762;2020-11-24;58924;1615;37097;492;228,5;6,9;13,5;24,7
759;2020-11-23;57309;805;35963;456;229,1;9,5;13,1;24,2
756;2020-11-22;56504;436;34883;449;234,3;11,9;13,1;23,8
753;2020-11-21;56068;1051;34460;447;234,2;13,1;12,9;24,0
750;2020-11-20;55017;1703;33850;441;232,2;14,0;13,4;24,3
747;2020-11-19;53314;1251;32827;422;235,3;14,9;13,6;23,4
744;2020-11-18;52063;1457;31806;401;244,6;15,4;13,0;23,4
741;2020-11-17;50606;1572;30940;393;234,3;13,6;13,5;23,8
738;2020-11-16;49034;1337;29927;371;230,1;12,7;13,5;23,2
735;2020-11-15;47697;432;28976;362;222,1;12,6;14,0;22,1
732;2020-11-14;47265;831;28585;358;220,8;12,7;14,0;22,0
729;2020-11-13;46434;1328;28130;348;214,6;12,1;14,3;22,0
726;2020-11-12;45106;1960;27344;333;207,5;11,9;14,5;21,7
723;2020-11-11;43146;1132;26502;321;195,4;12,3;14,1;21,4
720;2020-11-10;42014;1554;25767;313;196,1;15,2;14,9;21,7
717;2020-11-09;40460;840;25044;301;194,8;18,0;16,0;21,4
714;2020-11-08;39620;241;24368;295;196,7;21,1;16,1;20,3
711;2020-11-07;39379;697;24025;294;195,1;23,4;16,0;20,0
708;2020-11-06;38682;1329;23652;292;192,6;25,1;15,5;19,2
705;2020-11-05;37353;1387;23001;287;185,7;27,0;16,0;19,5
702;2020-11-04;35966;1148;22417;272;187,2;29,6;15,8;19,1
699;2020-11-03;34818;1513;21850;265;181,5;31,2;15,4;18,2
696;2020-11-02;33305;713;21330;261;170,7;33,9;14,5;17,1
693;2020-11-01;32592;362;20839;261;169,8;38,1;12,9;13,7
690;2020-10-31;32230;791;20587;261;168,0;40,7;12,6;13,9
687;2020-10-30;31439;1084;20302;255;163,9;41,3;11,7;13,5
684;2020-10-29;30355;1131;19868;253;159,8;40,7;11,2;12,2
681;2020-10-28;29224;1161;19437;253;146,7;39,5;11,2;12,2
678;2020-10-27;28063;1040;19063;251;140,6;39,6;9,9;11,6
675;2020-10-26;27023;931;18698;251;134,1;40,1;8,9;9,8
672;2020-10-25;26092;304;18281;250;130,4;41,8;8,0;9,2
669;2020-10-24;25788;415;18075;249;127,2;42,1;8,0;9,0
666;2020-10-23;25373;893;17816;248;119,1;40,6;7,8;9,0
663;2020-10-22;24480;783;17442;245;113,1;40,1;6,8;7,8
660;2020-10-21;23697;971;17107;243;107,1;39,8;6,3;7,3
657;2020-10-20;22726;822;16759;243;96,4;40,8;5,7;6,7
654;2020-10-19;21904;476;16418;241;91,3;44,6;5,7;6,4
651;2020-10-18;21428;302;16104;241;90,0;49,9;5,3;5,3
648;2020-10-17;21126;363;15894;239;90,2;54,2;5,1;5,3
645;2020-10-16;20763;676;15708;239;86,9;55,2;5,3;4,8
642;2020-10-15;20087;551;15391;238;80,7;55,6;4,8;4,8
639;2020-10-14;19536;503;15126;236;78,1;56,9;4,4;4,6
636;2020-10-13;19033;706;14881;236;73,0;56,7;4,0;4,5
633;2020-10-12;18327;252;14652;234;65,4;56,2;3,3;3,8
630;2020-10-11;18075;247;14407;234;64,4;57,8;3,2;3,5
627;2020-10-10;17828;273;14302;234;62,4;55,7;3,0;3,1
624;2020-10-09;17555;443;14180;234;57,9;50,5;3,0;3,1
621;2020-10-08;17112;498;13965;233;54,0;44,6;2,9;3,0
618;2020-10-07;16614;378;13787;232;48,1;38,8;2,9;3,4
615;2020-10-06;16236;288;13601;231;45,3;35,1;2,6;3,3
612;2020-10-05;15948;301;13447;231;42,3;32,0;2,3;3,1
609;2020-10-04;15647;74;13270;231;40,1;31,0;2,2;3,1
606;2020-10-03;15573;203;13168;231;39,7;30,1;2,1;3,2
603;2020-10-02;15370;339;13060;231;36,1;27,1;1,8;3,1
600;2020-10-01;15031;244;12888;229;33,8;27,8;1,9;2,7
597;2020-09-30;14787;288;12751;228;31,3;29,7;1,6;2,6
594;2020-09-29;14499;173;12595;228;30,0;34,1;1,6;2,4
591;2020-09-28;14326;131;12457;228;29,7;40,3;1,4;2,1
588;2020-09-27;14195;83;12307;228;29,7;44,4;1,2;1,8
585;2020-09-26;14112;143;12242;228;29,0;46,4;1,2;1,6
582;2020-09-25;13969;159;12176;228;28,6;46,7;1,1;1,9
579;2020-09-24;13810;238;12061;228;27,1;43,0;1,0;1,6
576;2020-09-23;13572;199;11935;228;26,9;40,8;0,9;1,4
573;2020-09-22;13373;117;11843;228;25,4;36,4;0,8;1,4
570;2020-09-21;13256;148;11827;227;22,9;30,6;0,8;1,6
567;2020-09-20;13108;44;11724;227;22,3;26,7;0,7;1,3
564;2020-09-19;13064;146;11667;227;21,9;21,2;0,7;1,2
561;2020-09-18;12918;186;11608;227;19,1;14,8;0,7;1,2
558;2020-09-17;12732;140;11532;227;18,2;12,1;0,6;1,1
555;2020-09-16;12592;130;11450;227;16,6;9,9;0,5;1,1
552;2020-09-15;12462;109;11367;227;15,0;9,0;0,6;1,3
549;2020-09-14;12353;85;11272;226;15,9;10,2;0,7;1,1
546;2020-09-13;12268;15;11178;226;15,8;10,8;0,6;1,3
543;2020-09-12;12253;38;11124;226;15,9;11,1;0,6;1,1
540;2020-09-11;12215;126;11078;226;16,8;10,7;0,6;1,2
537;2020-09-10;12089;139;11012;226;15,0;8,9;0,5;1,1
534;2020-09-09;11950;72;10931;226;14,3;7,8;0,5;1,0
531;2020-09-08;11878;87;10833;226;14,5;8,8;0,6;1,1
528;2020-09-07;11791;65;10740;226;14,4;8,7;0,6;1,2
525;2020-09-06;11726;24;10662;226;14,4;8,1;0,6;0,9
522;2020-09-05;11702;80;10610;226;14,1;6,8;0,5;0,9
519;2020-09-04;11622;94;10566;226;13,7;5,7;0,6;0,9
516;2020-09-03;11528;98;10507;226;13,6;5,1;0,7;1,0
513;2020-09-02;11430;84;10440;226;13,9;5,3;0,7;1,1
510;2020-09-01;11346;81;10387;226;14,0;1,4;0,7;1,0
507;2020-08-31;11265;77;10312;226;13,1;'-3,7';0,6;0,9
504;2020-08-30;11188;6;10220;226;13,0;'-6,7';0,6;1,4
501;2020-08-29;11182;58;10185;226;12,9;'-9,1';0,6;1,5
498;2020-08-28;11124;114;10129;226;12,2;'-10,2';0,6;1,5
495;2020-08-27;11010;77;10051;226;13,2;'-10,9';0,6;1,5
492;2020-08-26;10933;82;9972;226;12,4;'-12,0';0,7;1,6
489;2020-08-25;10851;66;9875;226;12,6;'-8,9';0,7;1,5
486;2020-08-24;10785;58;9806;226;12,7;'-4,3';0,8;1,4
483;2020-08-23;10727;11;9721;226;12,7;1,6;0,7;1,1
480;2020-08-22;10716;62;9660;226;12,8;7,5;0,7;1,2
477;2020-08-21;10654;112;9609;226;12,7;12,6;0,7;1,2
474;2020-08-20;10542;80;9513;226;12,1;19,2;0,5;1,2
